                [µ/?]
       E         Total
     (keV)       cm2 g-1
 1.366800E-02  2.9076E+06
 1.387200E-02  2.7996E+06
 1.396010E-02  2.7547E+06
 1.492335E-02  2.3210E+06
 1.595306E-02  1.9532E+06
 1.705382E-02  1.6417E+06
 1.823053E-02  1.3783E+06
 1.948844E-02  1.1557E+06
 2.083314E-02  9.6798E+05
 2.227063E-02  8.0981E+05
 2.380730E-02  6.7671E+05
 2.545001E-02  5.6484E+05
 2.720606E-02  4.7095E+05
 2.908327E-02  3.9222E+05
 3.109002E-02  3.2631E+05
 3.323523E-02  2.7117E+05
 3.552846E-02  2.2512E+05
 3.797993E-02  1.8669E+05
 4.060054E-02  1.5465E+05
 4.340198E-02  1.2799E+05
 4.639671E-02  1.0581E+05
 4.959809E-02  8.7390E+04
 5.302035E-02  7.2105E+04
 5.667876E-02  5.9435E+04
 6.058959E-02  4.8944E+04
 6.477028E-02  4.0266E+04
 6.923942E-02  3.3096E+04
 7.401695E-02  2.7178E+04
 7.912411E-02  2.2297E+04
 8.458368E-02  1.8277E+04
 9.041995E-02  1.4968E+04
 9.665893E-02  1.2248E+04
 1.033284E-01  1.0013E+04
 1.104581E-01  8.1797E+03
 1.180797E-01  6.6761E+03
 1.262272E-01  5.4445E+03
 1.349368E-01  4.4365E+03
 1.442475E-01  3.6123E+03
 1.542005E-01  2.9390E+03
 1.648404E-01  2.3894E+03
 1.762144E-01  1.9411E+03
 1.883732E-01  1.5758E+03
 2.013709E-01  1.2783E+03
 2.152655E-01  1.0362E+03
 2.301188E-01  8.3953E+02
 2.459970E-01  6.7970E+02
 2.629708E-01  5.4995E+02
 2.811158E-01  4.4471E+02
 3.005128E-01  3.5941E+02
 3.212482E-01  2.9031E+02
 3.434143E-01  2.3438E+02
 3.671099E-01  1.8914E+02
 3.924405E-01  1.5256E+02
 4.195189E-01  1.2302E+02
 4.484657E-01  9.9164E+01
 4.794098E-01  7.9915E+01
 5.124891E-01  6.4390E+01
 5.478508E-01  5.1876E+01
 5.856525E-01  4.1793E+01
 6.260625E-01  3.3675E+01
 6.692609E-01  2.7139E+01
 7.154399E-01  2.1880E+01
 7.648052E-01  1.7650E+01
 8.175768E-01  1.4248E+01
 8.739896E-01  1.1514E+01
 9.342948E-01  9.3158E+00
 9.987612E-01  7.5495E+00
 1.067676E+00  6.1302E+00
 1.141345E+00  4.9898E+00
 1.220098E+00  4.0736E+00
 1.304285E+00  3.3374E+00
 1.394281E+00  2.7459E+00
 1.490486E+00  2.2707E+00
 1.593329E+00  1.8888E+00
 1.703269E+00  1.5819E+00
 1.820795E+00  1.3353E+00
 1.946430E+00  1.1373E+00
 2.080733E+00  9.7820E-01
 2.224304E+00  8.5057E-01
 2.377781E+00  7.4825E-01
 2.541848E+00  6.6634E-01
 2.717235E+00  6.0091E-01
 2.904724E+00  5.4880E-01
 3.105150E+00  5.0745E-01
 3.319406E+00  4.7482E-01
 3.548445E+00  4.4926E-01
 3.793288E+00  4.2941E-01
 4.055024E+00  4.1422E-01
 4.334821E+00  4.0277E-01
 4.633924E+00  3.9437E-01
 4.953664E+00  3.8842E-01
 5.295467E+00  3.8444E-01
 5.660855E+00  3.8202E-01
 6.051453E+00  3.8085E-01
 6.469004E+00  3.8065E-01
 6.915365E+00  3.8120E-01
 7.392525E+00  3.8228E-01
 7.902609E+00  3.8376E-01
 8.447890E+00  3.8548E-01
 9.030794E+00  3.8734E-01
 9.653919E+00  3.8924E-01
 1.032004E+01  3.9110E-01
 1.103212E+01  3.9284E-01
 1.179334E+01  3.9442E-01
 1.260708E+01  3.9577E-01
 1.347697E+01  3.9687E-01
 1.440688E+01  3.9768E-01
 1.540095E+01  3.9816E-01
 1.646362E+01  3.9831E-01
 1.759961E+01  3.9810E-01
 1.881398E+01  3.9755E-01
 2.011215E+01  3.9662E-01
 2.149988E+01  3.9532E-01
 2.298338E+01  3.9365E-01
 2.456923E+01  3.9162E-01
 2.626450E+01  3.8923E-01
 2.807676E+01  3.8651E-01
 3.001405E+01  3.8344E-01
 3.208502E+01  3.8006E-01
 3.429889E+01  3.7637E-01
 3.666551E+01  3.7239E-01
 3.919543E+01  3.6814E-01
 4.189992E+01  3.6364E-01
 4.479101E+01  3.5891E-01
 4.788159E+01  3.5396E-01
 5.118542E+01  3.4881E-01
 5.471721E+01  3.4350E-01
 5.849270E+01  3.3802E-01
 6.252870E+01  3.3240E-01
 6.684318E+01  3.2668E-01
 7.145536E+01  3.2085E-01
 7.638578E+01  3.1494E-01
 8.165640E+01  3.0898E-01
 8.729069E+01  3.0296E-01
 9.331374E+01  2.9691E-01
 9.975239E+01  2.9086E-01
 1.066353E+02  2.8480E-01
 1.139931E+02  2.7875E-01
 1.218587E+02  2.7274E-01
 1.302669E+02  2.6676E-01
 1.392553E+02  2.6083E-01
 1.488640E+02  2.5497E-01
 1.591356E+02  2.4918E-01
 1.701159E+02  2.4346E-01
 1.818539E+02  2.3784E-01
 1.944018E+02  2.3231E-01
 2.078156E+02  2.2689E-01
 2.221548E+02  2.2157E-01
 2.374835E+02  2.1637E-01
 2.538699E+02  2.1129E-01
 2.713869E+02  2.0633E-01
 2.901126E+02  2.0150E-01
 3.101304E+02  1.9680E-01
 3.315294E+02  1.9223E-01
 3.544049E+02  1.8779E-01
 3.788588E+02  1.8349E-01
 4.050001E+02  1.7933E-01
 4.329451E+02  1.7530E-01
