                 [µ/?]
       E         Total
     (keV)       cm2 g-1
 4.723500E-03  9.6591E+05
 4.794000E-03  9.3769E+05
 1.069000E-02  2.3272E+05
 1.142761E-02  2.0650E+05
 1.221612E-02  1.8267E+05
 1.305903E-02  1.6108E+05
 1.320060E-02  1.5779E+05
 1.340265E-02  1.5325E+05
 1.345653E-02  1.5207E+05
 1.353735E-02  1.8934E+05
 1.373940E-02  1.8648E+05
 1.396010E-02  1.8358E+05
 1.492335E-02  1.7329E+05
 1.595306E-02  1.6497E+05
 1.705382E-02  1.5746E+05
 1.823053E-02  1.5037E+05
 1.948844E-02  1.4335E+05
 2.083314E-02  1.3620E+05
 2.227063E-02  1.2882E+05
 2.380730E-02  1.2121E+05
 2.545001E-02  1.1342E+05
 2.720606E-02  1.0553E+05
 2.908327E-02  9.7639E+04
 3.109002E-02  8.9854E+04
 3.323523E-02  8.2270E+04
 3.552846E-02  7.4970E+04
 3.797993E-02  6.8019E+04
 4.060054E-02  6.1464E+04
 4.340198E-02  5.5338E+04
 4.639671E-02  4.9655E+04
 4.959809E-02  4.4421E+04
 5.302035E-02  3.9627E+04
 5.667876E-02  3.5255E+04
 6.058959E-02  3.1276E+04
 6.477028E-02  2.7673E+04
 6.923942E-02  2.4428E+04
 7.401695E-02  2.1515E+04
 7.912411E-02  1.8912E+04
 8.458368E-02  1.6592E+04
 9.041995E-02  1.4520E+04
 9.665893E-02  1.2670E+04
 1.033284E-01  1.1040E+04
 1.104581E-01  9.6063E+03
 1.180797E-01  8.3478E+03
 1.262272E-01  7.2451E+03
 1.349368E-01  6.2807E+03
 1.442475E-01  5.4387E+03
 1.542005E-01  4.7045E+03
 1.648404E-01  4.0653E+03
 1.762144E-01  3.5097E+03
 1.842400E-01  3.1801E+03
 1.870600E-01  3.0748E+03
 1.878120E-01  3.0475E+03
 1.883732E-01  8.1883E+04
 1.889400E-01  8.1378E+04
 1.917600E-01  7.8936E+04
 2.013709E-01  7.1382E+04
 2.152655E-01  6.2156E+04
 2.301188E-01  5.3820E+04
 2.459970E-01  4.6355E+04
 2.629708E-01  3.9732E+04
 2.811158E-01  3.3915E+04
 3.005128E-01  2.8849E+04
 3.212482E-01  2.4465E+04
 3.434143E-01  2.0693E+04
 3.671099E-01  1.7461E+04
 3.924405E-01  1.4703E+04
 4.195189E-01  1.2357E+04
 4.484657E-01  1.0367E+04
 4.794098E-01  8.6840E+03
 5.124891E-01  7.2636E+03
 5.478508E-01  6.0671E+03
 5.856525E-01  5.0612E+03
 6.260625E-01  4.2168E+03
 6.692609E-01  3.5091E+03
 7.154399E-01  2.9169E+03
 7.648052E-01  2.4219E+03
 8.175768E-01  2.0084E+03
 8.739896E-01  1.6638E+03
 9.342948E-01  1.3771E+03
 9.987612E-01  1.1392E+03
 1.067676E+00  9.3416E+02
 1.141345E+00  7.6597E+02
 1.220098E+00  6.2808E+02
 1.304285E+00  5.1502E+02
 1.394281E+00  4.2235E+02
 1.490486E+00  3.4636E+02
 1.593329E+00  2.8407E+02
 1.703269E+00  2.3299E+02
 1.820795E+00  1.9111E+02
 1.946430E+00  1.5678E+02
 2.080733E+00  1.2863E+02
 2.224304E+00  1.0554E+02
 2.377781E+00  8.6615E+01
 2.541848E+00  7.1093E+01
 2.717235E+00  5.8365E+01
 2.904724E+00  4.7927E+01
 3.105150E+00  3.9204E+01
 3.319406E+00  3.1956E+01
 3.548445E+00  2.6047E+01
 3.793288E+00  2.1139E+01
 4.055024E+00  1.7166E+01
 4.334821E+00  1.3950E+01
 4.633924E+00  1.1346E+01
 4.953664E+00  9.2367E+00
 5.295467E+00  7.5288E+00
 5.660855E+00  6.1454E+00
 6.051453E+00  5.0242E+00
 6.469004E+00  4.1149E+00
 6.915365E+00  3.3776E+00
 7.392525E+00  2.7800E+00
 7.902609E+00  2.2951E+00
 8.447890E+00  1.9017E+00
 9.030794E+00  1.5804E+00
 9.653919E+00  1.3143E+00
 1.032004E+01  1.0996E+00
 1.103212E+01  9.2600E-01
 1.179334E+01  7.8566E-01
 1.260708E+01  6.7208E-01
 1.347697E+01  5.8006E-01
 1.440688E+01  5.0542E-01
 1.540095E+01  4.4478E-01
 1.646362E+01  3.9543E-01
 1.759961E+01  3.5521E-01
 1.881398E+01  3.2233E-01
 2.011215E+01  2.9539E-01
 2.149988E+01  2.7324E-01
 2.298338E+01  2.5497E-01
 2.456923E+01  2.3981E-01
 2.626450E+01  2.2718E-01
 2.807676E+01  2.1650E-01
 3.001405E+01  2.0748E-01
 3.208502E+01  1.9980E-01
 3.429889E+01  1.9321E-01
 3.666551E+01  1.8748E-01
 3.919543E+01  1.8244E-01
 4.189992E+01  1.7796E-01
 4.479101E+01  1.7390E-01
 4.788159E+01  1.7020E-01
 5.118542E+01  1.6677E-01
 5.471721E+01  1.6355E-01
 5.849270E+01  1.6050E-01
 6.252870E+01  1.5757E-01
 6.684318E+01  1.5474E-01
 7.145536E+01  1.5198E-01
 7.638578E+01  1.4928E-01
 8.165640E+01  1.4661E-01
 8.729069E+01  1.4398E-01
 9.331374E+01  1.4136E-01
 9.975239E+01  1.3875E-01
 1.066353E+02  1.3615E-01
 1.139931E+02  1.3356E-01
 1.218587E+02  1.3097E-01
 1.302669E+02  1.2838E-01
 1.392553E+02  1.2580E-01
 1.488640E+02  1.2322E-01
 1.591356E+02  1.2064E-01
 1.701159E+02  1.1808E-01
 1.818539E+02  1.1553E-01
 1.944018E+02  1.1299E-01
 2.078156E+02  1.1046E-01
 2.221548E+02  1.0796E-01
 2.374835E+02  1.0547E-01
 2.538699E+02  1.0300E-01
 2.713869E+02  1.0057E-01
 2.901126E+02  9.8152E-02
 3.101304E+02  9.5768E-02
 3.315294E+02  9.3416E-02
 3.544049E+02  9.1097E-02
 3.788588E+02  8.8814E-02
 4.050001E+02  8.6568E-02
 4.329451E+02  8.4360E-02
